candidate_a,candidate_b,co_mention_count,batch_id
scotland,wales,6,20260919_234459_YT001
ireland,wales,3,20260919_234459_YT001
deming,wharton,3,20260919_234459_YT001
i ve,i ve ever walked into,3,20260919_234459_YT001
larry,turtle,2,20260919_234459_YT001
bud one,two,2,20260919_234459_YT001
blackrock,wall,2,20260919_234459_YT001
campbell s,conagra,2,20260919_234459_YT001
northern,scotland,1,20260919_234459_YT001
northern,wales,1,20260919_234459_YT001
northern ireland they,scotland,1,20260919_234459_YT001
northern ireland they,wales,1,20260919_234459_YT001
ireland they,they ve,1,20260919_234459_YT001
ireland,scotland,1,20260919_234459_YT001
it s,yeah,1,20260919_234459_YT001
larry,turtle forth,1,20260919_234459_YT001
larry,turtle forth and,1,20260919_234459_YT001
turtle forth,turtle forth and,1,20260919_234459_YT001
certainly,there s,1,20260919_234459_YT001
that s,they ll,1,20260919_234459_YT001
blackrock,wall street,1,20260919_234459_YT001
right,right do,1,20260919_234459_YT001
federal housing,i ll,1,20260919_234459_YT001
i m,yep,1,20260919_234459_YT001
i m,in the secretary s office,1,20260919_234459_YT001
it s,mish,1,20260919_234459_YT001
campbell s,let s,1,20260919_234459_YT001
birds eye,marie callender,1,20260919_234459_YT001
bloomberg news uh,here s,1,20260919_234459_YT001
here s,us since,1,20260919_234459_YT001
